Kód;Elnevezés;Ország;Tájegység;"Dátum (ÉÉÉÉ-HH-NN)";Napok;"Szállás (sator/turistahaz/apartman/hotel)";"Túramód (gyalogos/kerekparos/vizi/si/barlangi/munka)";Altípus;Km;"Magashegyi km";"Szintemelkedés (m)";"Magashegyi szintemelkedés (m)";"Túraidő (óra)";"Többnapos típusa (csillag/vandor)";"Eltöltött éjszakák";Hajóátemelések;"Vendég résztvevők";"Lizzardier pont";"MTSZ pont"
36;"Túravezetői tanfolyam 1";HU;Vértes;2019-04-06;2;turistahaz;gyalogos;normal;40;;730;;;csillag;2;0;0;0;77
33;"Pilisszentlélek körül";HU;Visegrádi-hegység;2019-03-31;1;;gyalogos;normal;13;;426;;;;0;0;0;0;28
31;"Nyakas kő";HU;Budai-hegység;2019-03-30;1;;gyalogos;normal;24;;596;;7;;0;0;2;2;48
32;"Kis Budai kanyar";HU;Budai-hegység;2019-03-23;1;;gyalogos;normal;14;;525;;;;0;0;0;0;32
30;"Kevélyek körtúra";HU;Pilis;2019-02-24;1;;gyalogos;normal;8;;350;;;;0;0;49;0;22
29;Pap-rét;HU;Visegrádi-hegység;2019-02-17;1;;gyalogos;normal;8;;250;;3;;0;0;0;0;20
28;Csillebérc;HU;Budai-hegység;2019-02-16;1;;gyalogos;normal;13;;400;;;;0;0;6;0;31
488GY;"Bükki Farsang";HU;Bükk;2019-02-09;2;turistahaz;gyalogos;normal;29;;788;;;csillag;1;0;0;5;66
27;"Budaörsi gerincek";HU;Budai-hegység;2019-01-27;1;;gyalogos;normal;12;;250;;4;;0;0;41;0;26
26;"Hármashatárhegy körben";HU;Budai-hegység;2019-01-20;1;;gyalogos;normal;10;;350;;4;;0;0;32;0;25
25;"Téli Nomád a Börzsönyben";HU;Börzsöny;2019-01-19;2;sator;gyalogos;normal;16;;650;;10;vandor;1;0;0;9;46
24;"Nomádhoz keresgélős";HU;Börzsöny;2019-01-05;1;;gyalogos;normal;15;;557;;5;;0;0;7;0;37
23;"Szilveszter Óbányán";HU;Mecsek;2018-12-29;3;turistahaz;gyalogos;normal;24;;739;;10;csillag;3;0;2;0;63
22;"Téli Scnheeberg sátrazás";AT;Schneeberg;2018-12-01;2;sator;gyalogos;normal;11;;747;;8;vandor;1;0;1;0;40
21;"Természetjáró tájékozódási verseny";HU;Mátra;2018-11-17;1;;gyalogos;tajekozodasi;6;;300;;;;0;0;0;0;24
19;"** Zalaegerszeg környéke";HU;Zalai-dombság;2018-11-02;1;;gyalogos;normal;14;;173;;;;0;0;0;0;24
18;"Vadálló-kövek kör";HU;Visegrádi-hg;2018-10-28;1;;gyalogos;normal;20;;631;;7;;0;0;4;0;43
17;"Országos kéktúra OKT-05";HU;Balaton-felvidék;2018-10-24;1;;gyalogos;normal;18;;405;;5;;0;0;0;0;35
16;"Országos kéktúra OKT-04";HU;Balaton-felvidék;2018-10-22;1;;gyalogos;normal;25;;570;;6;;0;0;0;0;49
14;"Valencia és környéke";ES;Valenciai-partvidék;2018-10-13;3;apartman;gyalogos;normal;17;;678;;5;csillag;3;0;0;0;42
13;"Határon innen, határon túl";SK;Szádelő;2018-10-06;2;turistahaz;gyalogos;normal;35;;1755;;11;csillag;1;0;0;10;89
12;"Teve-szikla kör";HU;Pilis;2018-09-30;1;;gyalogos;normal;7;;343;;4;;0;0;1;0;17
486GY;"Gyalog és vízitúra a Dunakanyarban";HU;Dunakanyar;2018-09-29;1;;gyalogos;normal;12;;300;;;;0;0;0;8;24
485GY;"Túra és edzés a Fellegvárban";HU;Visegrádi-hegység;2018-09-15;1;;gyalogos;normal;18;;599;;;;0;0;3;3;39
10;"Ferrátázás a Bakonyban";HU;Bakony;2018-09-09;1;;gyalogos;normal;5;;349;;6;;0;0;1;0;14
9;"Nyári nomád a Mátrában";HU;Mátra;2018-09-01;2;sator;gyalogos;normal;26;;1346;;9;vandor;1;0;1;10;69
8;"Barlangok a Pádison";RO;Bihar;2018-08-18;3;apartman;gyalogos;normal;48;;2996;;13;csillag;3;0;0;15;135
7;"Wiesbachhorn mászás";AT;"Hohe Tauern";2018-08-04;2;turistahaz;gyalogos;normal;0;13;0;1949;13;vandor;1;0;1;0;123
6;"Pilis Direkt";HU;Pilis;2018-07-22;1;;gyalogos;normal;8;;580;;2;;0;0;0;0;24
5;"Kalandnyaralás Arco-ban";IT;Trentino;2018-07-01;4;apartman;gyalogos;normal;29;;3669;;16;csillag;4;0;3;0;121
